id,text,label,language,category,technique,has_link,has_urgency,alphabet
1,Telekom: Vaš ugovor za internet ističe 01.07.2026. Potvrdite produženje uz popust: https://telekom.rs/ugovor-produzenje,phishing,sr,unknown,unknown,TRUE,FALSE,latin
2,Euroexpress: Pošiljka EE448822 je uručena primaocu 20.05.2026. u 09:45.,legitimate,bs,delivery,notification,FALSE,FALSE,latin
3,NLB Komercijalna: Vaš e-banking je uspešno zaštićen biometrijskom autentifikacijom. Sada se možete prijaviti otiskom prsta ili licem.,legitimate,sr,unknown,tricky,FALSE,FALSE,latin
4,Јеттел: Ваш број ће бити угашен због неплаћене фактуре. Плаћање преко сигурног линка: https://yettel.rs/faktura-platno,phishing,sr,unknown,unknown,TRUE,FALSE,cyrillic
5,CdM: Portal CdM vam želi ugodan dan. Pročitajte vijesti dana.,legitimate,me,media,notice,FALSE,FALSE,latin
6,Pošta BiH: Ne vjerujte SMS porukama koje traže doplatu carine. Zvanične poruke samo na post.ba.,legitimate,bs,post,security,FALSE,FALSE,latin
7,А1 Србија: Потрошња је премашила 90% лимита. Додатни пакет се аутоматски активира. Откажите: https://a1.rs/limit-upravljanje-paket,phishing,sr,unknown,unknown,TRUE,FALSE,cyrillic
8,Пошта Србије: Пакет не може бити испоручен. Ажурирајте адресу и платите 200 RSD: https://posta-srbija.com,phishing,sr,post,urgency,TRUE,TRUE,cyrillic
9,Hitno ažurirajte podatke jer je vaša bezbednost ugrožena.,phishing,sr,account,urgency,FALSE,TRUE,latin
10,"PBZ: Vaša kartica ****7892 korištena je za online kupnju od 150,00 EUR. Ako niste Vi, blokirajte u aplikaciji.",legitimate,hr,unknown,tricky,FALSE,FALSE,latin
11,Glovo: Vaša narudžbina je pripremljena. Kurir kreće za 5 min. Hvala na narudžbini!,legitimate,sr,unknown,unknown,FALSE,FALSE,latin
12,ОТП: Ваш налог је привремено закључан због 3 узастопна погрешна покушаја. Откључајте: https://otp.rs/nalog-otkljucavanje,phishing,sr,unknown,unknown,TRUE,FALSE,cyrillic
13,MUP: Prijava za izdavanje nove lične karte je podneta. Termin za preuzimanje: 15.07.2026. Ponesite staru ličnu kartu.,legitimate,sr,unknown,tricky,FALSE,FALSE,latin
14,"MTS: Vaš TV paket je ažuriran. Dodati su kanali: Sport Klub 1, 2, 3. Uživajte u gledanju!",legitimate,sr,unknown,unknown,FALSE,FALSE,latin
15,Čestitamo! Dobili ste iPhone 13. Kliknite za preuzimanje.,phishing,sr,reward,false_reward,FALSE,FALSE,latin
16,MTS: Prekoračenje minuta za 45 min. Dodatni paket od 100 min je aktiviran automatski za 250 RSD. Detalji: mojmts.rs/cenovnik,legitimate,sr,unknown,tricky,FALSE,FALSE,latin
17,НЛБ: Ваша кредитна картица доспева за обнову 08/2026. Нова картица ће бити послата аутоматски на адресу. Нема потребе за акцијом.,legitimate,sr,unknown,tricky,FALSE,FALSE,cyrillic
18,MUP: Vaša osobna iskaznica je prijavljena kao izgubljena. Blokirajte online: http://mup-blok.com,phishing,bs,police,urgency,TRUE,TRUE,latin
19,Vaš račun će biti trajno zatvoren za 24h. Potvrdite identitet.,phishing,sr,bank,urgency,FALSE,TRUE,latin
20,Zagrebačka banka: Stigla je nova poruka u e-banking sandučić. Molimo provjerite.,legitimate,hr,bank,notification,FALSE,FALSE,latin
21,Kaufland HR: Kaufland ne šalje SMS nagrade.,legitimate,hr,shopping,security,FALSE,FALSE,latin
22,МУП Србије: Не отварајте сумњиве линкове. Банке и МУП никада не траже податке СМС-ом.,legitimate,sr,security,notice,FALSE,FALSE,cyrillic
23,Neplaćena putarina će rezultirati kaznom od 5.000 RSD.,phishing,sr,tax,threat,FALSE,FALSE,latin
24,Vaš nalog je privremeno suspendovan. Reagujte odmah.,phishing,sr,account,urgency,FALSE,TRUE,latin
25,PostExpress: Paket #PE445521 je stigao u Vaš grad. Dostava sutra 09-15h. Pratite na: postexpress.rs,legitimate,sr,post,delivery,FALSE,FALSE,latin
26,GLS: Paket je preuzet. Potvrda dostave je zaprimljena. Hvala na povjerenju.,legitimate,hr,delivery,notification,FALSE,FALSE,latin
27,Čestitamo! Osvojili ste besplatnu dostavu na godinu dana.,phishing,sr,delivery,false_reward,FALSE,FALSE,latin
28,"T-Mobile: Vaš račun za 05/2024 iznosi 45,90 EUR. Rok plaćanja: 15.06.2024. Plaćanje putem aplikacije Moj T-Mobile.",legitimate,hr,telecom,bill,FALSE,TRUE,latin
29,A1: A1 sigurnosni kutak – kako prepoznati lažni SMS. Pročitajte na a1.rs.,legitimate,sr,telecom,security,FALSE,FALSE,latin
30,FedEx: FedEx ne traži podatke o kreditnoj kartici putem SMS-a.,legitimate,neutral,delivery,security,FALSE,FALSE,latin
31,Banca Intesa: Vaš račun je označen za proveru zbog neobične aktivnosti. Privremeno su onemogućene online transakcije. Pozovite 011 20 20 000.,phishing,sr,unknown,tricky,FALSE,FALSE,latin
32,Unesite PIN kod i poslednje 4 cifre kartice za verifikaciju.,phishing,sr,bank,data_harvesting,FALSE,FALSE,latin
33,"Yettel: Vaš ugovor je produžen sa poboljšanim uslovima. Besplatni minuti: 1000, SMS: 500, Internet: 15 GB. Aktivno od 01.07.2026.",legitimate,sr,unknown,tricky,FALSE,FALSE,latin
34,Čestitamo! Osvojili ste vaučer za Gomex. Unesite podatke.,phishing,sr,reward,false_reward,FALSE,FALSE,latin
35,Poslata je verifikaciona šifra vašoj kartici.,phishing,sr,bank,morphological_case_dative,FALSE,TRUE,latin
36,"Поштовани, вашу пошиљку ћемо доставити сутра између 09:00 и 13:00 h.",legitimate,sr,post,delivery,FALSE,FALSE,cyrillic
37,ОТП банка: Генерисан је нови е-токен. За активацију унесите код са налога: https://otp.rs/aktivacija-tokena-e,phishing,sr,unknown,unknown,TRUE,FALSE,cyrillic
38,Mercator BiH: Ne nasjedajte na SMS poruke koje nude ogromne popuste uz uplatu.,legitimate,bs,shopping,security,FALSE,FALSE,latin
39,Raiffeisen: Vaša online transakcija od 15.000 RSD je odbijena zbog nedostatka sredstava. Stanje računa: 8.450 RSD. Uplatite sredstva.,legitimate,sr,unknown,tricky,FALSE,FALSE,latin
40,GLS: Paket je predan dostavnom centru. Kontakt kurira: 091 234 5678. Hvala na strpljenju.,legitimate,hr,delivery,notification,FALSE,FALSE,latin
41,Pošta Srbije: Paket RS445821 čeka preuzimanje. Dostava sutra 09-15h. Pratite na: posta.rs/pratipaket (zvanični link),legitimate,sr,unknown,tricky,FALSE,FALSE,latin
42,CERT BiH: Edukativni video – kako prepoznati smishing. Dostupno na cert.ba.,legitimate,bs,security,notice,FALSE,FALSE,latin
43,Vaš nalog će biti trajno obrisan za 48h. Reagujte.,phishing,sr,account,urgency,FALSE,TRUE,latin
44,Policija RH: Prekršajni nalog je izdan. Plaćanje u roku od 48h: http://prekršaj-mup.net,phishing,hr,police,threat,TRUE,TRUE,latin
45,МТС: Ваша претплата је обновљена. Нови обрачунски период почиње 01.06.2026. Детаљи о потрошњи су доступни у Мој МТС апликацији.,legitimate,sr,unknown,unknown,FALSE,FALSE,cyrillic
46,MUP zahteva hitnu verifikaciju vozačke dozvole.,phishing,sr,police,impersonation,FALSE,FALSE,latin
47,Banca Intesa: Vaša štednja je ostvarila kamatu od 2.450 RSD za Q2 2026. Detalji u e-banking aplikaciji ili na šalteru.,legitimate,sr,unknown,tricky,FALSE,FALSE,latin
48,Yettel: Vaša porudžbina telefona je poslata. Broj za praćenje: YS883291. Pratite na: yettel.rs,legitimate,sr,unknown,unknown,FALSE,FALSE,latin
49,Hitno potvrdite dostavu paketa pre isteka skladištenja.,phishing,sr,post,urgency,FALSE,TRUE,latin
50,АИК Банка: Детектован покушај пријаве са IP адресе 195.xxx.xxx.xx. Потврдите да сте ви: https://aik.rs/prijava-potvrda,phishing,sr,unknown,unknown,TRUE,FALSE,cyrillic
51,Poslovni: Banke apeluju – ne otvarajte sumnjive SMS linkove.,legitimate,hr,media,notice,FALSE,FALSE,latin
52,Zaba: Zaba aplikacija ima ugrađenu zaštitu od lažnih poruka.,legitimate,hr,bank,security,FALSE,FALSE,latin
53,Optima Telekom: Optima vas nikad neće tražiti da kliknete na link u SMS-u.,legitimate,hr,telecom,security,FALSE,FALSE,latin
54,ProCredit Bank BiH: Odobreno vam je povećanje limita na kreditnoj kartici.,legitimate,bs,bank,notification,FALSE,FALSE,latin
