domain,target_domain,country,brand,technique
raiffeisen-banka.com,raiffeisenbanka.rs,sr,Raiffeisen Banka,brand_suffix
raiffaisen.rs,raiffeisenbanka.rs,sr,Raiffeisen Banka,typosquatting
otp-banka-online.rs,otpbanka.rs,sr,OTP Banka,keyword_injection
otp-srbija.net,otpbanka.rs,sr,OTP Banka,brand_suffix
nlb-komercijalna.com,nlbbanka.rs,sr,NLB Komercijalna,brand_suffix
nlb-sigurnost.rs,nlbbanka.rs,sr,NLB Komercijalna,keyword_injection
erste-banka-cg.com,erstebankacg.me,cg,Erste Banka CG,brand_suffix
erste-banka-hr.net,erstebanka.hr,hr,Erste Banka,brand_suffix
intesa-banka-srbija.com,intesabanka.rs,sr,Banca Intesa,brand_suffix
aik-banka-rs.net,aikbanka.rs,sr,AIK Banka,brand_suffix
procredit-banka.rs,procreditbanka.rs,sr,ProCredit Banka,brand_suffix
unicredit-banka-bih.com,unicredit.ba,bih,UniCredit Banka,brand_suffix
zaba-banka.com,zaba.hr,hr,Zagrebačka banka,brand_suffix
pbz-online.hr,pbz.hr,hr,PBZ,keyword_injection
rba-banka.com,rba.hr,hr,RBA,brand_suffix
hrvatska-banka.com,hpb.hr,hr,HPB,brand_suffix
hipotekarna-cg.com,hipotekarna.me,cg,Hipotekarna Banka,brand_suffix
sparkasse-bh.net,sparkasse.ba,bih,Sparkasse Banka,brand_suffix
cgbank-sigurnost.com,cgbank.me,cg,CG Banka,keyword_injection
pkb-banka-rs.com,pkb.rs,sr,PKB Banka,brand_suffix
raiffeisen-sigurno.com,raiffeisenbanka.rs,sr,Raiffeisen Banka,keyword_injection
otp-aktivacija.rs,otpbanka.rs,sr,OTP Banka,keyword_injection
nlb-verifikacija.net,nlbbanka.rs,sr,NLB Komercijalna,keyword_injection
intesa-e-banking.rs,intesabanka.rs,sr,Banca Intesa,keyword_injection
zaba-token.hr,zaba.hr,hr,Zagrebačka banka,keyword_injection
mts-racun.info,mts.rs,sr,MTS,keyword_injection
mts-online-srbija.com,mts.rs,sr,MTS,brand_suffix
telekom-srbija.net,telekom.rs,sr,Telekom Srbija,brand_suffix
telekom-ugovori.com,telekom.rs,sr,Telekom Srbija,keyword_injection
a1-srbija.rs,a1.rs,sr,A1 Srbija,brand_suffix
a1-online.rs,a1.rs,sr,A1 Srbija,keyword_injection
yettel-srbija.com,yettel.rs,sr,Yettel,brand_suffix
yettel-ugovori.net,yettel.rs,sr,Yettel,keyword_injection
telenor-cg.com,telenor.me,cg,Telenor CG,brand_suffix
telenor-srbija.net,telenor.rs,sr,Telenor Srbija,brand_suffix
m-tel.me,mtel.me,cg,m:tel,brand_suffix
mtel-cg.com,mtel.me,cg,m:tel,brand_suffix
one-mobilnost.com,one.me,cg,One,keyword_injection
bh-telecom-ba.com,bhtelecom.ba,bih,BH Telecom,brand_suffix
telemach-bh.net,telemach.ba,bih,Telemach,brand_suffix
ht-mojracun.com,ht.hr,hr,Hrvatski Telekom,keyword_injection
tele2-hr.com,tele2.hr,hr,Tele2,brand_suffix
vip-hr.net,vip.hr,hr,VIP,brand_suffix
posta-srbija.net,posta.rs,sr,Pošta Srbije,brand_suffix
postasrbija.com,posta.rs,sr,Pošta Srbije,brand_suffix
posta-cg.me,posta.me,cg,Pošta Crne Gore,brand_suffix
bhposta-carina.net,bhposta.ba,bih,BH Pošta,keyword_injection
hrvatska-posta.com,posta.hr,hr,Hrvatska pošta,brand_suffix
dexpress-dostava.net,dexpress.rs,sr,DExpress,keyword_injection
dexpress-online.rs,dexpress.rs,sr,DExpress,keyword_injection
postexpress-carina.rs,postexpress.rs,sr,PostExpress,keyword_injection
glovo-dostava.com,glovo.rs,sr,Glovo,keyword_injection
wolt-srbija.net,wolt.rs,sr,Wolt,brand_suffix
dhl-serbia.com,dhl.rs,sr,DHL,brand_suffix
dpd-balkan.com,dpd.rs,sr,DPD,brand_suffix
gls-express-rs.net,gls.rs,sr,GLS,brand_suffix
kurir-dostava.com,kurir.rs,sr,Kurir,brand_suffix
paket-pratite.rs,posta.rs,sr,Pošta Srbije,keyword_injection
posta-rs-tracking.com,posta.rs,sr,Pošta Srbije,keyword_injection
postexpress-rs.net,postexpress.rs,sr,PostExpress,brand_suffix
dhl-tracking-rs.com,dhl.rs,sr,DHL,keyword_injection
wolt-promo.rs,wolt.rs,sr,Wolt,keyword_injection
glovo-bonus.com,glovo.rs,sr,Glovo,keyword_injection
mup-srbija.net,mup.gov.rs,sr,MUP Srbije,brand_suffix
mup-rs.com,mup.gov.rs,sr,MUP Srbije,brand_suffix
uprava-policije.rs,policija.gov.rs,sr,Uprava policije,brand_suffix
carina-srbija.com,carina.gov.rs,sr,Uprava carina,brand_suffix
carina-cg.net,carina.gov.me,cg,Uprava carina,brand_suffix
poreska-uprava-rs.com,purs.gov.rs,sr,Poreska uprava,brand_suffix
putarini-plati.rs,putevi-srbije.rs,sr,Putevi Srbije,keyword_injection
putari-srbija.com,putevi-srbije.rs,sr,Putevi Srbije,brand_suffix
parking-beograd.com,parking-beograd.rs,sr,Parking Beograd,brand_suffix
parking-novi-sad.net,parking-novisad.rs,sr,Parking Novi Sad,brand_suffix
parking-podgorica.com,parking-podgorica.me,cg,Parking Podgorica,brand_suffix
parking-sarajevo.net,parking.ba,bih,Parking Sarajevo,brand_suffix
parking-zagreb.com,parking-zagreb.hr,hr,Parking Zagreb,brand_suffix
parking-split.net,parking-split.hr,hr,Parking Split,brand_suffix
parkomat-plati.hr,parkomat.hr,hr,Parkomat,keyword_injection
nagrada-dobit.com,,sr,Nagrada,scam
voucher-dobit.net,,sr,Voucher,scam
t-com-nagrada.com,t-hrvatski.hr,hr,T-HT,brand_suffix
konzum-nagrada.net,konzum.hr,hr,Konzum,brand_suffix
lidl-kupon.com,lidl.hr,hr,Lidl,brand_suffix
t2-nagrada.net,tele2.hr,hr,Tele2,brand_suffix
muller-nagrada.com,muller.ba,bih,Müller,brand_suffix
petrol-nagrada.net,petrol.hr,hr,Petrol,brand_suffix
mercator-bonus.com,mercator.rs,sr,Mercator,brand_suffix
idea-ugovori.rs,idea.rs,sr,Idea,keyword_injection
maxipromocija.com,maxi.rs,sr,Maxi,brand_suffix
dm-drogerie-bonus.hr,dm.hr,hr,DM,keyword_injection
besplatno-putovanje.com,,sr,Putovanje,scam
iphone-dobitak.net,,sr,iPhone,scam
giftcard-free.net,,sr,Gift Card,scam
airserbia-refund.com,airserbia.com,sr,Air Serbia,brand_suffix
sberbank-unlock.net,sberbank.rs,sr,Sberbank,keyword_injection
kreditna-unija-rs.com,kreditnaunija.rs,sr,Kreditna unija,brand_suffix
