domain,target_domain,country,brand,technique
putevi-notice.cc,putevi-srbije.rs,RS,Putevi Srbije,added-word
putevi-kazna.rs,putevi-srbije.rs,RS,Putevi Srbije,added-word
putevi-srbije.login,putevi-srbije.rs,RS,Putevi Srbije,added-word
putevi-srbije.online,putevi-srbije.rs,RS,Putevi Srbije,wrong-tld
putevi-srbije.net,putevi-srbije.rs,RS,Putevi Srbije,wrong-tld
putevi-srbije.org,putevi-srbije.rs,RS,Putevi Srbije,wrong-tld
putevi-srbije.rs.com,putevi-srbije.rs,RS,Putevi Srbije,wrong-tld
putevi-srbijeee.rs,putevi-srbije.rs,RS,Putevi Srbije,repetition
putevi-srbije-rs.rs,putevi-srbije.rs,RS,Putevi Srbije,omitted-dot
putevi-srbije-info.rs,putevi-srbije.rs,RS,Putevi Srbije,added-word
putevi-srbije-payment.rs,putevi-srbije.rs,RS,Putevi Srbije,added-word
mup-gov.rs,mup.gov.rs,RS,MUP Srbije,omitted-dot
mup.gov.net,mup.gov.rs,RS,MUP Srbije,wrong-tld
mup.gov.org,mup.gov.rs,RS,MUP Srbije,wrong-tld
mup.gov.online,mup.gov.rs,RS,MUP Srbije,wrong-tld
mup-gov.online,mup.gov.rs,RS,MUP Srbije,wrong-tld
mup.rs.com,mup.gov.rs,RS,MUP Srbije,wrong-tld
mupp.gov.rs,mup.gov.rs,RS,MUP Srbije,repetition
muup.gov.rs,mup.gov.rs,RS,MUP Srbije,repetition
mup-login.gov.rs,mup.gov.rs,RS,MUP Srbije,added-word
mup-verify.gov.rs,mup.gov.rs,RS,MUP Srbije,added-word
euprava.gov.online,euprava.gov.rs,RS,eUprava Srbija,wrong-tld
euprava-gov.rs,euprava.gov.rs,RS,eUprava Srbija,omitted-dot
euprava-login.rs,euprava.gov.rs,RS,eUprava Srbija,added-word
e-uprava.rs,euprava.gov.rs,RS,eUprava Srbija,omitted-dot
euprva.rs,euprava.gov.rs,RS,eUprava Srbija,substitution
euprava-secure.rs,euprava.gov.rs,RS,eUprava Srbija,added-word
poreskauprava.gov.online,poreskauprava.gov.rs,RS,Poreska uprava Srbija,wrong-tld
poreskauprava-gov.rs,poreskauprava.gov.rs,RS,Poreska uprava Srbija,omitted-dot
poreskauprava-login.rs,poreskauprava.gov.rs,RS,Poreska uprava Srbija,added-word
porezna.rs,poreskauprava.gov.rs,RS,Poreska uprava Srbija,substitution
rzs.gov.online,rzs.gov.rs,RS,RZS Srbija,wrong-tld
rzs-gov.rs,rzs.gov.rs,RS,RZS Srbija,omitted-dot
rzs-login.rs,rzs.gov.rs,RS,RZS Srbija,added-word
rzss.rs,rzs.gov.rs,RS,RZS Srbija,repetition
pio.rs,pio.rs,RS,PIO Fond,wrong-tld
piofond.rs,pio.rs,RS,PIO Fond,substitution
pio-login.rs,pio.rs,RS,PIO Fond,added-word
posta.rs.com,posta.rs,RS,Pošta Srbije,wrong-tld
posta.online,posta.rs,RS,Pošta Srbije,wrong-tld
posta-login.rs,posta.rs,RS,Pošta Srbije,added-word
posta-srbije.rs,posta.rs,RS,Pošta Srbije,omitted-dot
postexpress.rs.com,posta.rs,RS,Post Express,wrong-tld
dexpress.rs.com,dexpress.rs,RS,DExpress,wrong-tld
