"text","label","language","alphabet"
"MTS: Osvojili ste poene! Iskoristite ih i prijavite se na: https://mtspoints.com","phishing","sr","latin"
"МТС: Освојили сте поене! Искористите их и пријавите се на: https://mtspoints.com","phishing","sr","cyrillic"
"Pošta Srbije: Paket ne može biti isporučen. Ažurirajte adresu i platite 200 RSD: https://posta-srbija.com","phishing","sr","latin"
"Пошта Србије: Пакет не може бити испоручен. Ажурирајте адресу и платите 200 RSD: https://posta-srbija.com","phishing","sr","cyrillic"
"Pošta Srbije: Vaš paket čeka na carini. Platite carinu od 450 RSD: https://rs-posta.net","phishing","sr","latin"
"Пошта Србије: Ваш пакет чека на царини. Платите царину од 450 RSD: https://rs-posta.net","phishing","sr","cyrillic"
"Telekom Srbija: Vaš mts račun je neplaćen. Izbegnite blokadu: https://mts-racun.info","phishing","sr","latin"
"Телеком Србија: Ваш мтс рачун је неплаћен. Избегните блокаду: https://mts-racun.info","phishing","sr","cyrillic"
"MUP Srbije: Na Vaše ime je izdata saobraćajna kazna. Platite s popustom: https://mup-kazne.help","phishing","sr","latin"
"МУП Србије: На Ваше име је издата саобраћајна казна. Платите с попустом: https://mup-kazne.help","phishing","sr","cyrillic"
"Putevi Srbije: Neplaćena putarina za deonicu Beograd-Niš. Plaćanje: https://putevi-srbije.help","phishing","sr","latin"
"Путеви Србије: Неплаћена путарина за деоницу Београд-Ниш. Плаћање: https://putevi-srbije.help","phishing","sr","cyrillic"
"DExpress: Paket nije dostavljen zbog netačne adrese. Potvrdite podatke: https://dexpress-dostava.net","phishing","sr","latin"
"ДЕxпресс: Пакет није достављен због нетачне адресе. Потврдите податке: https://dexpress-dostava.net","phishing","sr","cyrillic"
"Air Serbia: Povraćaj sredstava za otkazani let. Unesite podatke: https://airserbiarefund.com","phishing","sr","latin"
"Аир Србија: Повраћај средстава за отказани лет. Унесите податке: https://airserbiarefund.com","phishing","sr","cyrillic"
"Banca Intesa: Detektovana sumnjiva transakcija. Potvrdite identitet: https://intesaverify.net","phishing","sr","latin"
"Банка Интеза: Детектована сумњива трансакција. Потврдите идентитет: https://intesaverify.net","phishing","sr","cyrillic"
"Raiffeisen banka: Vaša kartica je privremeno blokirana. Otključajte: https://raiffeisen-sigurno.com","phishing","sr","latin"
"Рајфајзен банка: Ваша картица је привремено блокирана. Откључајте: https://raiffeisen-sigurno.com","phishing","sr","cyrillic"
"OTP banka: Hitno ažuriranje podataka potrebno. Rok: 12h: https://otp-update.rs","phishing","sr","latin"
"ОТП банка: Хитно ажурирање података потребно. Рок: 12h: https://otp-update.rs","phishing","sr","cyrillic"
"A1 Srbija: Vaš broj će biti ugašen zbog neaktivnosti. Potvrdite: https://a1-aktivacija.net","phishing","sr","latin"
"А1 Србија: Ваш број ће бити угашен због неактивности. Потврдите: https://a1-aktivacija.net","phishing","sr","cyrillic"
"Yettel: Prekoračen limit potrošnje. Doplatite 1.500 RSD: https://yettel-plati.com","phishing","sr","latin"
"Јеттел: Прекорачен лимит потрошње. Доплатите 1.500 RSD: https://yettel-plati.com","phishing","sr","cyrillic"
"PostExpress: Pošiljka zadržana u skladištu. Naknada: 350 RSD: https://postexpress-skladiste.net","phishing","sr","latin"
"ПостЕxпресс: Пошиљка задржана у складишту. Накнада: 350 RSD: https://postexpress-skladiste.net","phishing","sr","cyrillic"
"MUP: Vaša lična karta je prijavljena kao izgubljena. Blokirajte online: https://mup-blokada.info","phishing","sr","latin"
"МУП: Ваша лична карта је пријављена као изгубљена. Блокирајте online: https://mup-blokada.info","phishing","sr","cyrillic"
"Telekom: Vaša pretplata ističe sutra. Produžite uz popust: https://telekom-produzi.com","phishing","sr","latin"
"Телеком: Ваша претплата истиче сутра. Продужите уз попуст: https://telekom-produzi.com","phishing","sr","cyrillic"
"Pošta: Neuspešna dostava paketa #RS883291. Potvrdite termin: https://posta-dostava.help","phishing","sr","latin"
"Пошта: Неуспешна достава пакета #RS883291. Потврдите термин: https://posta-dostava.help","phishing","sr","cyrillic"
"MTS: Osvojili ste besplatan internet na mesec dana. Aktivirajte: https://mts-nagrada.net","phishing","sr","latin"
"МТС: Освојили сте бесплатан интернет на месец дана. Активирајте: https://mts-nagrada.net","phishing","sr","cyrillic"
"Banca Intesa: Vaš e-banking nalog zahteva verifikaciju. Kliknite: https://intesaverifikacija.com","phishing","sr","latin"
"Банка Интеза: Ваш е-banking налог захтева верификацију. Кликните: https://intesaverifikacija.com","phishing","sr","cyrillic"
"NLB Komercijalna banka: Detektovan pristup s nepoznatog uređaja. Potvrdite: https://nlb-sigurno.rs","phishing","sr","latin"
"НЛБ Комерцијална банка: Детектован приступ с непознатог уређаја. Потврдите: https://nlb-sigurno.rs","phishing","sr","cyrillic"
"Erste banka: Neovlašćena transakcija od 15.000 RSD. Blokirajte karticu: https://erste-blokada.net","phishing","sr","latin"
"Ерсте банка: Неовлашћена трансакција од 15.000 RSD. Блокирајте картицу: https://erste-blokada.net","phishing","sr","cyrillic"
"AIK Banka: Vaš račun je označen za proveru. Unesite podatke: https://aik-provera.com","phishing","sr","latin"
"АИК Банка: Ваш рачун је означен за проверу. Унесите податке: https://aik-provera.com","phishing","sr","cyrillic"
"ProCredit: Rata kredita dospeva danas. Izbegnite kamatu: https://procredit-plati.net","phishing","sr","latin"
"ПроКредит: Рата кредита доспева данас. Избегните камату: https://procredit-plati.net","phishing","sr","cyrillic"
"Unicredit: Vaš token je istekao. Generišite novi: https://unicredit-token.rs","phishing","sr","latin"
"Уникредит: Ваш токен је истекао. Генеришите нови: https://unicredit-token.rs","phishing","sr","cyrillic"
"MUP: Registracija vozila ističe za 48h. Produžite online: https://mup-registracija.help","phishing","sr","latin"
"МУП: Регистрација возила истиче за 48h. Продужите online: https://mup-registracija.help","phishing","sr","cyrillic"
"Poreska uprava: Neplaćen porez na imovinu. Plaćanje s popustom: https://poreska-uplata.net","phishing","sr","latin"
"Пореска управа: Неплаћен порез на имовину. Плаћање с попустом: https://poreska-uplata.net","phishing","sr","cyrillic"
"JP Putevi Srbije: Kazna za prolaz kroz naplatnu rampu bez kartice. Plaćanje: https://putarine-plati.com","phishing","sr","latin"
